season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_sd,a_local,a_long,cluster
2,2,1000,0,4,2,0,3,100,75,75,5
2,1,500,0,4,2,0,3,100,25,75,10
1,1,1000,1,3,3,0,2,50,0,0,4
2,1,1000,0,4,3,0,2,600,600,0,9
2,2,500,0,4,3,0,3,400,200,200,1
1,2,500,1,3,2,0,2,200,200,0,2
1,1,500,1,5,2,0,1,200,0,0,6
2,2,1000,0,5,3,0,3,125,0,50,7
2,2,1000,0,5,3,0,3,75,25,150,7
2,2,1000,0,4,2,0,3,600,200,400,5
1,2,1000,0,5,1,0,1,600,600,0,3
2,2,1000,0,4,2,0,3,400,50,150,5
2,2,500,0,4,3,0,3,150,25,25,1
2,1,1000,0,5,2,0,3,600,0,600,16
2,1,1000,0,5,3,0,3,25,75,100,7
2,2,500,0,5,3,0,3,600,0,200,7
2,2,500,0,5,2,0,3,200,200,600,8
2,2,500,0,4,3,0,2,300,0,0,15
2,2,1000,0,5,3,0,3,50,75,100,7
2,0,500,0,3,2,0,1,150,0,0,14
1,2,500,1,4,2,0,2,20,25,0,2
2,1,500,0,4,3,0,3,600,0,400,1
2,2,500,1,5,2,0,2,400,200,0,2
2,1,500,0,5,3,0,3,50,75,75,7
2,1,500,0,4,3,0,3,125,0,50,1
2,1,500,0,4,3,0,3,400,50,50,1
2,1,1000,0,5,3,0,2,150,0,0,15
2,1,1000,0,4,3,0,3,150,50,125,1
1,1,500,0,4,3,0,2,400,50,0,9
2,2,500,0,5,3,0,3,400,400,400,7
2,2,1000,0,5,3,0,3,300,100,100,7
2,1,500,0,4,2,0,3,150,100,125,10
