season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_s,a_l,a_ld,cluster
1,1,500,0,5,2,0,3,25,0,150,399
2,2,1000,1,5,1,0,3,300,0,100,280
2,1,500,0,5,3,0,3,150,50,50,240
1,0,500,1,5,2,0,2,600,200,0,54
2,2,500,0,5,2,0,3,400,0,50,186
1,2,1000,0,3,3,0,2,300,50,0,74
2,1,500,0,5,3,0,3,100,100,125,243
2,2,500,0,4,3,0,3,200,0,150,351
2,2,500,0,5,2,0,3,75,50,150,195
2,1,500,0,4,2,0,3,200,100,150,314
2,2,500,0,4,2,0,3,400,50,100,296
2,1,1000,0,5,2,0,3,400,400,400,170
1,2,500,1,5,2,0,2,300,50,0,40
2,1,500,0,5,2,0,3,200,400,200,177
2,0,500,1,5,3,0,2,100,0,0,151
1,2,500,0,5,2,0,2,25,0,10,390
2,2,1000,0,4,2,0,3,400,0,600,329
2,2,500,1,4,2,0,2,200,400,0,51
2,2,1000,0,5,2,0,3,400,600,400,163
2,1,1000,0,5,3,0,3,75,75,50,245
1,0,1000,1,5,2,0,1,300,0,0,417
2,2,500,0,5,3,0,3,600,600,200,210
2,2,1000,0,5,3,0,2,400,600,0,100
2,2,1000,0,4,3,0,3,125,25,75,331
2,1,500,0,4,3,0,3,400,400,600,369
2,2,500,1,5,2,0,2,300,50,0,40
2,1,500,0,4,2,0,1,150,0,0,1
2,2,500,0,4,3,0,3,200,50,50,341
2,0,1000,1,5,2,0,2,200,200,0,60
2,0,1000,1,5,2,0,1,300,0,0,417
1,2,500,0,5,2,0,3,50,0,25,399
1,2,500,0,4,3,0,2,600,0,0,121
2,1,1000,0,5,3,0,3,50,0,75,219
2,1,500,0,4,3,0,3,125,75,75,361
2,0,500,0,3,1,0,3,25,0,125,384
2,1,1000,0,4,2,0,3,150,50,150,312
2,1,500,0,5,1,0,2,75,0,25,394
2,2,500,0,4,3,0,3,75,0,75,349
1,1,1000,1,3,2,0,2,400,200,0,35
2,2,1000,0,5,2,0,1,400,0,0,11
2,1,500,1,5,2,0,2,200,200,0,60
2,1,1000,1,5,1,0,3,75,0,150,274
2,2,1000,0,4,3,0,3,150,75,150,333
2,1,1000,0,4,2,0,3,400,200,200,309
2,2,1000,1,5,2,0,2,150,100,0,56
2,2,500,0,5,3,0,3,50,25,50,232
2,1,500,0,5,3,0,3,150,0,150,256
2,1,500,0,5,2,0,3,25,0,150,287
2,1,500,0,4,2,0,3,200,200,400,309
2,2,500,1,4,2,0,2,400,600,0,48
1,1,500,0,3,3,0,2,400,100,0,72
1,1,1000,1,3,2,0,2,100,100,0,22
2,2,1000,0,4,3,0,3,100,25,25,356
2,0,500,1,3,3,0,2,400,0,0,149
2,0,1000,0,4,1,0,3,25,0,50,377
2,0,1000,0,4,1,0,3,200,0,200,379
2,2,500,0,3,2,0,3,75,75,25,385
2,1,1000,0,5,3,0,3,100,0,200,256
2,1,500,0,4,3,0,3,100,75,25,354
2,1,1000,0,4,2,0,3,50,50,150,305
2,0,500,0,4,1,0,3,300,0,100,378
1,1,500,1,4,3,0,2,100,0,0,158
1,2,1000,0,3,2,0,1,100,0,0,16
2,2,1000,0,4,3,0,3,75,100,75,342
2,1,500,0,5,3,0,3,25,75,125,237
2,2,1000,0,4,3,0,3,300,100,50,337
2,1,500,1,4,2,0,2,25,20,0,67
2,2,500,0,5,2,0,3,125,50,50,196
2,1,500,0,4,2,0,3,100,100,200,304
